time;source;target;value
"2025-07-02T08:48:39.682000";"#healthcare";"#abortion";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#bills";"1"
"2025-07-02T08:48:39.682000";"#healthcare";"#roevwade";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#politics";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#doctorsoftiktok";"1"
"2025-07-02T08:48:39.682000";"#healthcare";"#women";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#Trump";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#breakingnews";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#financialliteracy";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#veterans";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#creatorsearchinsights";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#fypツ";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#news";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#maga";"1"
"2025-07-02T08:38:17.278000";"#healthcare";"#nursetok";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#rush2023";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#sorority";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#harmreduction";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#sororitycheck";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#womensbodies";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#college";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#highschool";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#womenshealth";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#chlamydia";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#parentsofteens";"1"
"2025-07-02T08:48:39.685000";"#collegewomen";"#studentsuccess";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#SmallDogBigHeart";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#CotonDeTulear";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#MariettaGA";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#SpecialNeedsPet";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#AdoptDontShop";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#HomelessPetsFoundation";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#FluffyFriend";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#AdoptWalker";"1"
"2025-07-02T08:48:40.691000";"#RescueDog";"#DogRescue";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#bacterialvaginosis";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#yeastinfections";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#womenswellness";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#evvypartner";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#microbiomematters";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#fertilityawareness";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#ad";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#femininecare";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#yeastinfection";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#womenshealth";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#fertilityawarenessweek";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#femininehealth";"1"
"2025-07-02T08:48:54.022000";"#fertilityjourney";"#holisticfertility";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#baby";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#kidsbelike";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#ai";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#don";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#viralsound";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#maryamnawaz";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#Funnai";"1"
"2025-07-02T08:38:17.294000";"#pleasedontunderreviewmyvedios";"#pleasegoviral";"1"
"2025-07-02T08:08:43.031000";"#movie";"#johnnyedit";"1"
"2025-07-02T08:08:43.031000";"#movie";"#mavisedit";"1"
"2025-07-02T08:40:20.911000";"#movie";"#film";"1"
"2025-07-02T08:08:43.031000";"#movie";"#edit";"1"
"2025-07-02T08:08:43.031000";"#movie";"#viral";"1"
"2025-07-02T10:10:44.662000";"#movie";"#fypシ";"1"
"2025-07-02T08:08:43.031000";"#movie";"#johnny";"1"
"2025-07-02T10:25:06.491000";"#movie";"#tiktok";"1"
"2025-07-02T08:40:20.911000";"#movie";"#foryou";"1"
"2025-07-02T08:08:43.031000";"#movie";"#hoteltransylvania";"1"
"2025-07-02T08:40:20.911000";"#movie";"#dharmann";"1"
"2025-07-02T08:08:43.031000";"#movie";"#fyp";"1"
"2025-07-02T10:10:44.662000";"#movie";"#usa";"1"
"2025-07-02T08:08:43.031000";"#movie";"#hoteltransylvaniaedit";"1"
"2025-07-02T08:08:43.031000";"#movie";"#mavis";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#mineralwar";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#militaryindustrialcomplex";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#brics";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#geopolitics";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#nuclearweapons";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#usforeignpolicy";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#rareearths";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#strategicminerals";"1"
"2025-07-02T08:48:40.688000";"#pnac";"#usmilitary";"1"
