id;node;origin
"#healthcare";"#healthcare";"tuning"
"#collegewomen";"#collegewomen";"tuning"
"#RescueDog";"#RescueDog";"tuning"
"#fertilityjourney";"#fertilityjourney";"tuning"
"#pleasedontunderreviewmyvedios";"#pleasedontunderreviewmyvedios";"tuning"
"#movie";"#movie";"both"
"#pnac";"#pnac";"tuning"
"#medicalgaslighting";"#medicalgaslighting";"tuning"
"#donaldtrump";"#donaldtrump";"both"
"#ovulation";"#ovulation";"tuning"
"#SoinDentaire";"#SoinDentaire";"tuning"
"#europe";"#europe";"both"
"#sororitycheck";"#sororitycheck";"tuning"
"#UnbelievableMoments";"#UnbelievableMoments";"tuning"
"#parati";"#parati";"both"
"#syphilis";"#syphilis";"tuning"
"#trich";"#trich";"tuning"
"#followthemoney";"#followthemoney";"tuning"
"#equalresearchday";"#equalresearchday";"tuning"
"#football";"#football";"both"
"#sorority";"#sorority";"tuning"
"#periodcramps";"#periodcramps";"tuning"
"#whatch";"#whatch";"tuning"
"#iowastateuniversity";"#iowastateuniversity";"tuning"
"#会做饭的猫";"#会做饭的猫";"tuning"
"#git4n0";"#git4n0";"tuning"
"#viralvideos";"#viralvideos";"both"
"#help";"#help";"both"
"#trend";"#trend";"both"
"#yeastinfections";"#yeastinfections";"tuning"
"#periodtips";"#periodtips";"tuning"
"#f";"#f";"tuning"
"#Viral";"#Viral";"tuning"
"#grassrootsfootball";"#grassrootsfootball";"tuning"
"#fypツ";"#fypツ";"tuning"
"#syphilistreatment";"#syphilistreatment";"tuning"
"#ReproductiveHealth";"#ReproductiveHealth";"tuning"
"#AdoptDontShop";"#AdoptDontShop";"tuning"
"#womenempowerment";"#womenempowerment";"tuning"
"#reflexiones";"#reflexiones";"tuning"
"#luteral";"#luteral";"tuning"
"#baby";"#baby";"both"
"#pmdd";"#pmdd";"tuning"
"#trickmaster_saifullah";"#trickmaster_saifullah";"tuning"
"#ovulationvsluteal";"#ovulationvsluteal";"tuning"
"#roevwade";"#roevwade";"tuning"
"#resist";"#resist";"tuning"
"#aicat";"#aicat";"tuning"
"#SpecialNeedsPet";"#SpecialNeedsPet";"tuning"
"#veo3";"#veo3";"both"
"#pleasegoviral";"#pleasegoviral";"tuning"
"#trump";"#trump";"tuning"
"#mavisedit";"#mavisedit";"tuning"
"#familycruise";"#familycruise";"tuning"
"#financialliteracy";"#financialliteracy";"tuning"
"#glowup";"#glowup";"both"
"#wojak";"#wojak";"tuning"
"#FunnyCourt";"#FunnyCourt";"tuning"
"#AD";"#AD";"tuning"
"#tiktokshop";"#tiktokshop";"tuning"
"#abortion";"#abortion";"tuning"
"#foruyou";"#foruyou";"both"
"#moeders";"#moeders";"both"
"#puppydog804";"#puppydog804";"tuning"
"#IUD";"#IUD";"tuning"
"#jiddah";"#jiddah";"tuning"
"#Digging";"#Digging";"tuning"
"#core";"#core";"both"
"#MonkeyMoments";"#MonkeyMoments";"tuning"
"#gatotriste";"#gatotriste";"tuning"
"#unitarian";"#unitarian";"tuning"
"#squidgameseason3";"#squidgameseason3";"both"
"#dhs";"#dhs";"tuning"
"#skin";"#skin";"tuning"
"#bacterialvaginoisis";"#bacterialvaginoisis";"tuning"
"#womensupportingwomen";"#womensupportingwomen";"tuning"
"#usmilitary";"#usmilitary";"tuning"
"#blackwomenoftiktok";"#blackwomenoftiktok";"tuning"
"#CrazyCases";"#CrazyCases";"tuning"
"#nduru";"#nduru";"tuning"
"#搞笑猫咪";"#搞笑猫咪";"tuning"
"#hoteltransylvaniaedit";"#hoteltransylvaniaedit";"tuning"
"#SourireRadieux";"#SourireRadieux";"tuning"
"#birthrightcitizenship";"#birthrightcitizenship";"tuning"
"#universalinjunctions";"#universalinjunctions";"tuning"
"#gettested";"#gettested";"tuning"
"#standwithKashmir";"#standwithKashmir";"both"
"#4amclub";"#4amclub";"tuning"
"#candidate";"#candidate";"tuning"
"#promomakanliburan";"#promomakanliburan";"tuning"
"#LegalDrama";"#LegalDrama";"tuning"
"#kannywood_exclusive";"#kannywood_exclusive";"tuning"
"#chlamydia";"#chlamydia";"tuning"
"#beautyhack";"#beautyhack";"tuning"
"#WV";"#WV";"tuning"
"#edutok";"#edutok";"tuning"
"#quiz";"#quiz";"tuning"
"#anime";"#anime";"tuning"
"#ocean";"#ocean";"tuning"
"#sponsored";"#sponsored";"tuning"
"#beauty";"#beauty";"tuning"
"#catstory";"#catstory";"tuning"
"#yeastinfectiontreatment";"#yeastinfectiontreatment";"tuning"
"#foryouray_";"#foryouray_";"both"
"#ViralVideo";"#ViralVideo";"tuning"
"#undereyebags";"#undereyebags";"tuning"
"#DailyShow";"#DailyShow";"tuning"
"#hastag";"#hastag";"tuning"
"#CapCut";"#CapCut";"both"
"#femininehygiene";"#femininehygiene";"tuning"
"#zohranmamdani";"#zohranmamdani";"tuning"
"#femininehealth";"#femininehealth";"tuning"
"#genderhealthgap";"#genderhealthgap";"tuning"
"#relatable";"#relatable";"both"
"#unfreezemyacount";"#unfreezemyacount";"tuning"
"#growmyaccounttiktokxmeatgirl";"#growmyaccounttiktokxmeatgirl";"tuning"
"#Recomendacion";"#Recomendacion";"tuning"
"#Wyoming";"#Wyoming";"tuning"
"#texas";"#texas";"tuning"
"#WomensHealth";"#WomensHealth";"tuning"
"#bacterialvaginoisistreatmean";"#bacterialvaginoisistreatmean";"tuning"
"#sarakisong";"#sarakisong";"tuning"
"#adamazangoofficial";"#adamazangoofficial";"tuning"
"#kannywoodcelebrities";"#kannywoodcelebrities";"tuning"
"#activist";"#activist";"tuning"
"#Octopus";"#Octopus";"tuning"
"#progressivereligion";"#progressivereligion";"tuning"
"#follow";"#follow";"tuning"
"#nutmeg";"#nutmeg";"tuning"
"#adamazango";"#adamazango";"tuning"
"#philippines";"#philippines";"tuning"
"#planecrash";"#planecrash";"tuning"
"#womenshealth";"#womenshealth";"tuning"
"#fyp";"#fyp";"both"
"#black";"#black";"tuning"
"#getreadywithme";"#getreadywithme";"tuning"
"#JonMeacham";"#JonMeacham";"tuning"
"#NatureVibes";"#NatureVibes";"tuning"
"#BVtalksWomensHealth";"#BVtalksWomensHealth";"tuning"
"#endo";"#endo";"tuning"
"#eyeserum";"#eyeserum";"tuning"
"#recurrentvaginitis";"#recurrentvaginitis";"tuning"
"#leftist";"#leftist";"tuning"
"#travelwithkids";"#travelwithkids";"tuning"
"#meme";"#meme";"both"
"#AlexandriaBraswell";"#AlexandriaBraswell";"tuning"
"#government";"#government";"tuning"
"#candidacleanse";"#candidacleanse";"tuning"
"#bacterialvaginosistalks";"#bacterialvaginosistalks";"tuning"
"#apeldoorn";"#apeldoorn";"tuning"
"#congomood";"#congomood";"tuning"
"#college";"#college";"tuning"
"#candidadiet";"#candidadiet";"tuning"
"#tiktokedit";"#tiktokedit";"tuning"
"#miami";"#miami";"tuning"
"#治愈系猫咪";"#治愈系猫咪";"tuning"
"#GenderHealthGap";"#GenderHealthGap";"tuning"
"#Tibobo";"#Tibobo";"tuning"
"#rosadegusdalupe";"#rosadegusdalupe";"tuning"
"#candidiasis";"#candidiasis";"tuning"
"#telenovelastelemundo";"#telenovelastelemundo";"tuning"
"#animationcartoon";"#animationcartoon";"tuning"
"#news";"#news";"tuning"
"#zostaw_serducho";"#zostaw_serducho";"tuning"
"#funnycat";"#funnycat";"tuning"
"#goodtrouble";"#goodtrouble";"tuning"
"#lovers";"#lovers";"tuning"
"#animation";"#animation";"both"
"#edit";"#edit";"both"
"#Alabama";"#Alabama";"tuning"
"#doctorsoftiktok";"#doctorsoftiktok";"tuning"
"#mineralwar";"#mineralwar";"tuning"
"#dovesoap";"#dovesoap";"tuning"
"#viralcontent";"#viralcontent";"tuning"
"#progressive";"#progressive";"tuning"
"#eventready";"#eventready";"tuning"
"#studentsuccess";"#studentsuccess";"tuning"
"#like";"#like";"both"
"#harmreduction";"#harmreduction";"tuning"
"#UnitarianUniversalism";"#UnitarianUniversalism";"tuning"
"#neocolonialism";"#neocolonialism";"tuning"
"#reflexionesdeamo";"#reflexionesdeamo";"tuning"
"#mavis";"#mavis";"tuning"
"#nationalsecurity";"#nationalsecurity";"tuning"
"#beautyreview";"#beautyreview";"tuning"
"#geopolitics";"#geopolitics";"both"
"#graduate";"#graduate";"tuning"
"#fdt";"#fdt";"tuning"
"#arrested";"#arrested";"tuning"
"#evvy";"#evvy";"tuning"
"#CuteAnimals";"#CuteAnimals";"tuning"
"#10commandments";"#10commandments";"tuning"
"#pcosawareness";"#pcosawareness";"tuning"
"#MonkeyEatingStrawberry";"#MonkeyEatingStrawberry";"tuning"
"#holisticfertility";"#holisticfertility";"tuning"
"#globaltok";"#globaltok";"tuning"
"#shark";"#shark";"tuning"
"#pluralism";"#pluralism";"tuning"
"#funnyfootball";"#funnyfootball";"tuning"
"#tootballtiktok";"#tootballtiktok";"tuning"
"#reel";"#reel";"tuning"
"#boricacid";"#boricacid";"tuning"
"#bills";"#bills";"tuning"
"#obgyn";"#obgyn";"tuning"
"#leaked";"#leaked";"tuning"
"#miamidade";"#miamidade";"tuning"
"#johnny";"#johnny";"tuning"
"#politics";"#politics";"tuning"
"#womensbodies";"#womensbodies";"tuning"
"#Evvy";"#Evvy";"tuning"
"#proclubs";"#proclubs";"tuning"
"#500klike";"#500klike";"tuning"
"#Farming";"#Farming";"both"
"#feminineodor";"#feminineodor";"tuning"
"#syphilissore";"#syphilissore";"tuning"
"#萌宠出道计划";"#萌宠出道计划";"tuning"
"#fypage";"#fypage";"both"
"#drowningprevention";"#drowningprevention";"tuning"
"#ai";"#ai";"both"
"#endometriosis";"#endometriosis";"tuning"
"#arnhem";"#arnhem";"tuning"
"#greenscreen";"#greenscreen";"tuning"
"#israel";"#israel";"tuning"
"#fypシ";"#fypシ";"both"
"#protest";"#protest";"tuning"
"#quiztime";"#quiztime";"tuning"
"#nijmegen";"#nijmegen";"tuning"
"#Netanyahu";"#Netanyahu";"tuning"
"#candida";"#candida";"tuning"
"#grappig";"#grappig";"both"
"#Trump";"#Trump";"tuning"
"#Funnai";"#Funnai";"tuning"
"#dogmeeting";"#dogmeeting";"tuning"
"#nuclearweapons";"#nuclearweapons";"tuning"
"#fightback";"#fightback";"tuning"
"#evvypartner";"#evvypartner";"tuning"
"#ComoDiceElDicho";"#ComoDiceElDicho";"tuning"
"#fertilityawareness";"#fertilityawareness";"tuning"
"#StrawberrySnack";"#StrawberrySnack";"tuning"
"#bacterialvaginosis";"#bacterialvaginosis";"tuning"
"#trendingdogtik";"#trendingdogtik";"tuning"
"#enometriosis";"#enometriosis";"tuning"
"#BVtalks";"#BVtalks";"tuning"
"#safesex";"#safesex";"tuning"
"#vaginosisbacterianavscandidasis";"#vaginosisbacterianavscandidasis";"tuning"
"#ojeras";"#ojeras";"tuning"
"#foodlover";"#foodlover";"tuning"
"#nursetok";"#nursetok";"tuning"
"#squidgameedit";"#squidgameedit";"tuning"
"#endthewarmachine";"#endthewarmachine";"tuning"
"#rareearths";"#rareearths";"tuning"
"#arewa__tiktok";"#arewa__tiktok";"tuning"
"#don";"#don";"tuning"
"#foodtok";"#foodtok";"tuning"
"#medley";"#medley";"tuning"
"#politicstiktok";"#politicstiktok";"tuning"
"#fypviral";"#fypviral";"tuning"
"#douyin抖音";"#douyin抖音";"tuning"
"#cat";"#cat";"both"
"#healtheducation";"#healtheducation";"tuning"
"#femininewash";"#femininewash";"tuning"
"#periodproblems";"#periodproblems";"tuning"
"#luckytv";"#luckytv";"both"
"#graduated";"#graduated";"tuning"
"#film";"#film";"tuning"
"#viralreels";"#viralreels";"tuning"
"#cdc";"#cdc";"tuning"
"#aerobicvaginitis";"#aerobicvaginitis";"tuning"
"#footballedit";"#footballedit";"tuning"
"#squidgame";"#squidgame";"both"
"#NoKings";"#NoKings";"tuning"
"#louisiana";"#louisiana";"tuning"
"#jdbfootballcrying";"#jdbfootballcrying";"tuning"
"#democraticsocialism";"#democraticsocialism";"tuning"
"#Mimic";"#Mimic";"tuning"
"#yeastinfection";"#yeastinfection";"tuning"
"#chronicuti";"#chronicuti";"tuning"
"#congolaise";"#congolaise";"tuning"
"#comodiceeldicho";"#comodiceeldicho";"tuning"
"#petehegseth";"#petehegseth";"tuning"
"#MedicalGaslighting";"#MedicalGaslighting";"tuning"
"#warprofiteering";"#warprofiteering";"tuning"
"#vacationfun";"#vacationfun";"tuning"
"#blackexcellence";"#blackexcellence";"tuning"
"#fluconazole";"#fluconazole";"tuning"
"#MonkeyLove";"#MonkeyLove";"tuning"
"#candidaalbicans";"#candidaalbicans";"tuning"
"#veterans";"#veterans";"tuning"
"#signalgate";"#signalgate";"tuning"
"#healthtips";"#healthtips";"tuning"
"#VagHealth";"#VagHealth";"tuning"
"#nafisaabdullahi";"#nafisaabdullahi";"tuning"
"#FunnyMonkey";"#FunnyMonkey";"tuning"
"#brics";"#brics";"tuning"
"#stdawareness";"#stdawareness";"tuning"
"#stitch";"#stitch";"tuning"
"#candidavaginitis";"#candidavaginitis";"tuning"
"#sundayleague";"#sundayleague";"tuning"
"#nowyouknow";"#nowyouknow";"both"
"#herpesawareness";"#herpesawareness";"tuning"
"#mycoplasma";"#mycoplasma";"tuning"
"#bgsd";"#bgsd";"tuning"
"#decolonise";"#decolonise";"tuning"
"#femalerage";"#femalerage";"tuning"
"#lotje";"#lotje";"tuning"
"#Iowa";"#Iowa";"tuning"
"#lgbtqiaplus";"#lgbtqiaplus";"tuning"
"#MustWatch";"#MustWatch";"tuning"
"#persist";"#persist";"tuning"
"#antimony";"#antimony";"tuning"
"#iran";"#iran";"tuning"
"#HorseLife";"#HorseLife";"tuning"
"#squidgameanimation";"#squidgameanimation";"tuning"
"#mineralpolitics";"#mineralpolitics";"tuning"
"#syphilisoutbreak";"#syphilisoutbreak";"tuning"
"#CourtDrama";"#CourtDrama";"tuning"
"#ad";"#ad";"both"
"#hoteltransylvania";"#hoteltransylvania";"tuning"
"#desmoines";"#desmoines";"tuning"
"#learning";"#learning";"tuning"
"#resourcewar";"#resourcewar";"tuning"
"#jdbfootball";"#jdbfootball";"tuning"
"#uspolitics";"#uspolitics";"tuning"
"#douyin";"#douyin";"tuning"
"#HealthEquity";"#HealthEquity";"tuning"
"#honourthecraving";"#honourthecraving";"tuning"
"#urinarytractinfection";"#urinarytractinfection";"tuning"
"#Darkcircles";"#Darkcircles";"tuning"
"#candidaovergrowth";"#candidaovergrowth";"tuning"
"#top50";"#top50";"tuning"
"#arewa";"#arewa";"tuning"
"#cancer";"#cancer";"tuning"
"#utis";"#utis";"tuning"
"#triending";"#triending";"tuning"
"#tiktokgrowth";"#tiktokgrowth";"tuning"
"#memestiktok";"#memestiktok";"both"
"#congress";"#congress";"tuning"
"#worldtok";"#worldtok";"tuning"
"#angryginge";"#angryginge";"tuning"
"#stdcheck";"#stdcheck";"tuning"
"#viral";"#viral";"both"
"#dharmann";"#dharmann";"both"
"#gitano";"#gitano";"tuning"
"#medicalmisogyny";"#medicalmisogyny";"tuning"
"#deventer";"#deventer";"tuning"
"#shenzhenhighschool";"#shenzhenhighschool";"tuning"
"#womenshealthmatters";"#womenshealthmatters";"tuning"
"#microbiomematters";"#microbiomematters";"tuning"
"#manifest";"#manifest";"tuning"
"#Evvypartner";"#Evvypartner";"tuning"
"#lbc";"#lbc";"tuning"
"#reflexionesdeamor";"#reflexionesdeamor";"tuning"
"#militaryindustrialcomplex";"#militaryindustrialcomplex";"tuning"
"#2025";"#2025";"tuning"
"#FluffyFriend";"#FluffyFriend";"tuning"
"#fertilityawarenessweek";"#fertilityawarenessweek";"tuning"
"#tennessee";"#tennessee";"tuning"
"#UnitarianUniversalist";"#UnitarianUniversalist";"tuning"
"#femininecare";"#femininecare";"tuning"
"#recurrentuti";"#recurrentuti";"tuning"
"#thisisamerica";"#thisisamerica";"tuning"
"#countries";"#countries";"tuning"
"#periods";"#periods";"tuning"
"#Seeds";"#Seeds";"tuning"
"#disneycruise";"#disneycruise";"tuning"
"#country";"#country";"tuning"
"#middleeastnews";"#middleeastnews";"tuning"
"#50501";"#50501";"tuning"
"#probiotics";"#probiotics";"tuning"
"#eta";"#eta";"tuning"
"#manifestation";"#manifestation";"tuning"
"#Challenge";"#Challenge";"tuning"
"#phbalance";"#phbalance";"tuning"
"#CotonDeTulear";"#CotonDeTulear";"tuning"
"#cruisefamily";"#cruisefamily";"tuning"
