time;source;target;value
"2025-07-02T08:13:55.118000";"#hungergames";"#examseason";"1"
"2025-07-02T08:13:55.118000";"#hungergames";"#year13";"1"
"2025-07-02T08:13:55.118000";"#hungergames";"#gcse";"1"
"2025-07-02T08:13:55.118000";"#hungergames";"#alevels";"1"
"2025-07-02T08:13:55.118000";"#hungergames";"#runlikeagirl";"1"
"2025-07-02T08:13:55.118000";"#hungergames";"#mem";"1"
"2025-07-02T08:13:55.122000";"#pharmacyschool";"#student";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الخليج";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#foryoupage";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#السكري";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#qatar";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الشعب_الصيني_ماله_حل";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#نمط_حياة_صحي";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الصيام_المتقطع";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الصيام_لعلاج_السكري";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#اكل_صحي";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#السكري_بلا_دواء";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#صحة_بدون_أدوية";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الامارات";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#ksa";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الصيام_يشفي";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#fyp";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#الكبد_الدهنية";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#مقاومة_الإنسولين";"1"
"2025-07-02T08:11:05.589000";"#التراكمي_نزل";"#دهون_الكبد";"1"
